,time,comment
0,0:03 ,was uppp everyone
1,0:05 ,this is it
2,0:07 ,bobchamp
3,0:07 ,Omg Im so excited for this
4,0:07 ,french here
5,0:08 ,History
6,0:09 ,This Is Poggers
7,0:10 ,it s a time a to watcha tha rovar hahaaq
8,0:11 ,this will be epic
9,0:11 ,heck uyea
10,0:12 ,CHAT
11,0:13 ,Yoo
12,0:13 ,Watching from Philippines
13,0:14 ,finally lets watch the perseverence land
14,0:15 ,hey
15,0:16 ,hey
16,0:16 ,hope this goes well
17,0:17 ,whoop whoop
18,0:17 ,what up
19,0:19 ,IS MARK ROBER IN HERE
20,0:19 ,hello chat
21,0:19 ,I WAS HERE
22,0:19 ,Has it started
23,0:19 ,Wassup
24,0:19 ,remote beside ke I want to watch one piece
25,0:22 ,please start it I m so excited
26,0:23 ,Finally
27,0:23 ,Hey world
28,0:23 ,LETS SEE IT
29,0:23 ,I WAS HERE
30,0:24 ,Let s do this
31,0:24 ,ay lets go
32,0:26 ,Here for History
33,0:27 ,how long before it starts
34,0:28 ,im so hyped for this
35,0:29 ,can t waittt
36,0:29 ,hi from india
37,0:31 ,THIS IS HYPE
38,0:34 ,time for the landing guys
39,0:37 ,Hello from South Africa
40,0:38 ,halo everyone
41,0:38 ,hello from India
42,0:38 ,lets do thia
43,0:38 ,its going
44,0:40 ,I have been waiting for this day for  months
45,0:40 ,This gonna be epic
46,0:40 ,SHOUT OUT TO CHAPITA
47,0:41 ,hello earthlings
48,0:41 ,wow watching with my mom
49,0:42 ,Preserverance
50,0:42 ,hello from germany
51,0:42 ,marsians are waitiing for this
52,0:43 ,first
53,0:44 ,i was here D
54,0:44 ,Yoo
55,0:44 ,finally
56,0:47 ,hey
57,0:47 ,Yay Finally
58,0:47 ,Hello from Minneapolis
59,0:47 ,hey
60,0:48 ,Exciting
61,0:48 ,let s do this
62,0:48 ,hey history
63,0:48 ,WE WERE HERE FELLAS
64,0:48 ,heyop
65,0:49 ,jesss Good luck from MACEDONIA
66,0:51 ,It begins
67,0:52 ,I m soo excited
68,0:53 ,Can t wait
69,0:53 ,is currently  am
70,0:54 ,too
71,0:56 ,Im in d at cks hahah
72,0:56 ,Wow this live stream is viral
73,0:57 ,where s it at tho
74,0:57 ,hello form wgypt
75,0:57 ,wut happened did everyone get kicked out
76,0:58 ,yay its time
77,0:58 ,is there life on Marsssssssssssssss
78,0:58 ,Ey stop chatting
79,1:00 ,hello from Au at  am
80,1:02 ,Can t wait to see another rover on mars
81,1:03 ,hurry up i have a final
82,1:04 ,OI WHERE IS MARS
83,1:07 ,hi from India it s  
84,1:07 ,FROM INDIA LOTS OF LOVE
85,1:08 ,who else from nf s new song
86,1:08 ,HI everyone
87,1:08 ,Hello from austria
88,1:08 ,Sucess
89,1:11 ,Hi I m Maria and I m reporting from Latin America
90,1:12 ,I hope
91,1:13 ,Hi from bosnia
92,1:15 ,BrO I AM SO EXCITED I WANNA BE AN AEROSPACE ENGINEER AT NASA
93,1:16 ,so awesome to be able to witness this
94,1:17 ,good luck from INDIA
95,1:18 ,whats the time on Mars now
96,1:18 ,Love this
97,1:18 ,I WAS HERE
98,1:19 ,TIME FOR LANDING
99,1:20 ,history
100,1:20 ,Let s do this Does this thing have air brakes
101,1:20 ,good luck from Zimbabwe
102,1:21 ,excited
103,1:22 ,Hope for the best
104,1:22 , rockets Sent Noice
105,1:24 ,Amazing and exciting
106,1:24 ,I was here
107,1:26 ,I M HERE
108,1:26 ,yougotthis yougotthis yougotthis
109,1:27 ,Hello from Italy
110,1:28 ,hey hello from india
111,1:30 ,yo when it lands can we get a massive POGGERS
112,1:32 ,i came from mark rober
113,1:32 ,Hello from the US
114,1:33 ,Ahh thats poggers
115,1:33 , minutes of whoa
116,1:33 ,Hello from cali
117,1:34 ,hii from Italy
118,1:34 ,I can t see anything _
119,1:37 ,hi from Ireland
120,1:37 ,Go on perseverance
121,1:38 ,theoppp
122,1:40 ,American time
123,1:41 ,Waiting
124,1:44 ,Read the standing orders READ THEM AND UNDERSTAND THEM
125,1:44 ,Whether we wanted it or not we ve stepped into a war with the cabal on mars
126,1:46 ,first
127,1:47 ,I was here
128,1:47 ,When the imposter is sus
129,1:48 ,Percy dont go gentle into that good night
130,1:48 ,Highman
131,1:49 ,anything can happen in the next half hour
132,1:50 ,WHO ELSE IS HERE FROM MARK ROBERS VID
133,1:51 ,Cool
134,1:51 ,whens the footage coming
135,1:52 ,Waiting for this historic moment when we will be q blue to find life out of planet Earth for the very first time in human history
136,1:52 ,YEAA MARS TIME
137,1:52 ,Hey hello from Argentina
138,1:53 ,the time has come for Human evolution
139,1:54 ,gme to mars
140,1:56 ,Brooo im scarred Ahhhhhhhhh
141,1:56 ,this is history
142,1:57 ,Yoo
143,1:58 ,Where Mark river
144,1:58 ,stream is choppy
145,1:58 ,I can t wait
146,1:59 ,That s it it s over
147,1:59 ,Jessica here
148,1:59 ,Hello from Poland
149,2:01 ,only p the  mission control is K
150,2:01 ,cok heyecanli
151,2:02 ,hi from Virginia
152,2:03 ,Shout out to Flex Seal
153,2:03 ,Omg I m so exicited
154,2:04 ,hipe
155,2:04 ,are we there yet
156,2:04 ,come on earth come on NASA come on perseverance come on ingenuity God Jesus Christ Bless
157,2:04 ,Best of luck from Utah
158,2:06 ,hello hello from Minneapolis Minnesota usa
159,2:06 ,TriHard 
160,2:07 ,hello everyone
161,2:07 ,I m on time elbowcough
162,2:08 ,i was here
163,2:09 ,why did that look cartoon y
164,2:09 ,Mars is flat
165,2:10 ,wheres mark rober
166,2:10 ,Can I come to Mars with you
167,2:11 ,Where s Bruno mars
168,2:12 ,fireflying
169,2:12 ,Cool
170,2:12 ,Hello from South Africa
171,2:13 ,history
172,2:13 ,Someone say log on the loud speeker
173,2:14 ,ITS MY BIRTHDAY TODAYYYY
174,2:14 ,I WAS HERE
175,2:14 ,This is SO cool Glad to be part of this
176,2:14 ,Pogchamp On Mars
177,2:17 ,I WAS HERE
178,2:17 ,What
179,2:18 ,all the best nasa
180,2:19 ,i was here
181,2:21 ,GROUND CONTROL TO MAYOR TOM
182,2:22 ,hi fromm Bosniaa
183,2:22 ,the real harry was here
184,2:23 ,All I want to hear is Touch Down Conformed
185,2:23 ,Let s Make History
186,2:23 ,let s hope all well
187,2:23 ,TriHard 
188,2:24 ,the binskis
189,2:24 ,I WAS HERE MOM
190,2:27 ,fingers crossed
191,2:27 ,california op
192,2:27 ,dogecoin to the moon
193,2:29 ,Hi from NE England UK
194,2:29 ,TURN IT UP
195,2:33 ,hey
196,2:34 ,dab on the haters
197,2:36 ,Icon from Germany
198,2:36 ,can t wait
199,2:37 ,any one froomm india
200,2:37 ,Hello from Ulm Germany Birthplace of Albert Einstein
201,2:38 ,Best of luck to akk of you
202,2:41 ,Hey Guys
203,2:41 ,What time should I tune back in
204,2:41 ,This is really amazing
205,2:43 ,Where Mark Rober
206,2:43 ,doubt they will show us anything real
207,2:43 ,congratulations from sri lanka
208,2:46 ,hey
209,2:46 ,THIs is inan
210,2:47 ,Waiting
211,2:48 ,I m excited
212,2:48 ,Marshan pog
213,2:48 ,hey
214,2:48 ,I was here
215,2:49 ,Whose here from Marks channel
216,2:52 ,who else saw this from mark rover
217,2:53 ,How is the Nasa Poes project doing btw
218,2:53 ,in an hr and a half cmon lol
219,2:54 ,i want to be astronomerrrr
220,2:54 ,Whoop whoop
221,2:54 ,This is Obama
222,2:54 ,wow can t wait
223,2:54 ,Valorand down
224,2:54 ,Spain here
225,2:54 ,Hello from North Sentinel Island
226,2:54 ,we re witnessing history being made
227,2:54 ,let s go greetings from italy
228,2:55 ,exited
229,2:55 ,MAY THIS END IN HAPPINESS
230,2:57 ,It s happening
231,2:57 ,dogecoin to the moon
232,2:57 ,The flat earthers wont like this one
233,2:57 ,G O Lessss gooo Bro
234,2:57 ,Hello NASA and congratulation to flew away form our crater we are living
235,2:57 ,are we there yet
236,2:58 ,virtue signaling abounds
237,2:58 ,is it happening right now
238,2:58 ,it s am in India
239,2:58 ,i was here
240,2:58 ,cant wait to our success
241,2:59 ,Get ready for landing brace brace brace
242,2:59 ,i was here
243,2:59 ,DONT CRASH THATS A BAD IDEA
244,3:00 ,mark rober chain
245,3:01 ,Perseverence help us to persever our investigation to Mars
246,3:01 ,Greece
247,3:03 ,where do i skip to the landing
248,3:04 ,greetings from Germany
249,3:04 ,welcome to the my planet mars
250,3:04 ,Cool
251,3:06 ,woooooo babyy can t wait until   pst
252,3:06 ,IS MARK ROBER HERE
253,3:07 ,yo why she sound like that
254,3:07 ,I wouldn t miss this for the world
255,3:07 ,woah there s a lot of people here  
256,3:08 ,earth is a donut
257,3:09 ,Hey NASA when will the rover will land on Mars
258,3:09 ,Can it run CSGO
259,3:09 ,Hello Tom Carroll
260,3:09 ,hola bien gracias a vamos a marthe yougotthis sanitizer sanitizer sanitizer sanitizer sanitizer
261,3:09 ,Oh The slow mode is quite fast Greetings to all all over the world
262,3:14 ,This is History
263,3:16 ,Can t wait
264,3:17 ,Is it me or does she sound like a robot
265,3:18 ,From Nairobi Kenya following
266,3:19 ,ummm where is the vid of it landing
267,3:19 ,is mark rober in the house
268,3:19 ,WE RE LIVE
269,3:19 ,Someone fill me on on why todays event is exciting
270,3:20 ,pog chat
271,3:20 ,hi world
272,3:22 ,hi from new hampshire
273,3:22 ,i was here pog
274,3:23 ,Woooooooo let s gooo this is history
275,3:23 ,space elbowcough
276,3:24 ,ISRO BEST
277,3:24 ,Are we there yet Be quiet or I ll turn this spacecraft around
278,3:24 ,I M VERY EXCITED IT IS GOING TO BE GREEEAAAT
279,3:24 ,I hope mark rober is watching this
280,3:26 ,Hello from Taiwan at midnight
281,3:26 ,Here in Kamloops BC Canada
282,3:26 ,What time is it
283,3:27 ,I was here
284,3:28 ,One day I will work there
285,3:28 ,YYYAYAYYAYAYAYAYYAYAYAYYA exited as heck where Mark Rober at
286,3:28 ,II WAS HERE
287,3:28 ,Hey from Kentucky
288,3:29 ,class58
289,3:31 ,i was here
290,3:31 ,Love from Canada Alberta let s do this
291,3:32 ,RIP CHRIS BROWN
292,3:32 ,I made a model of it
293,3:33 ,hi from california 
294,3:34 ,so when are we seeing dinosaur earth
295,3:34 ,I woulden t miss this for all the money in the world
296,3:35 ,lets go baby
297,3:35 ,Exiting this is
298,3:36 ,hi so excited
299,3:36 ,what time
300,3:37 ,pretty cool
301,3:38 ,cringe
302,3:38 ,hello world
303,3:38 ,Imagine it meets Curiosity there that would be amazing
304,3:38 ,MARK ROBER RAID
305,3:38 ,I WAS HERE
306,3:43 ,Can t wait Nice work
307,3:43 ,Cousin Martians here we go
308,3:43 ,i love how its in slow mode yet still pouring in
309,3:44 ,exited
310,3:44 ,hey
311,3:46 ,Where mars
312,3:46 ,Such an amazing time
313,3:47 ,this is gonna be really cool
314,3:48 ,whoa cool
315,3:48 ,Wassup NASA
316,3:48 ,hi from spain
317,3:49 ,LAUNCH TIME POGGERS I WAS HERE DON T FORGET ABOUT ME
318,3:49 ,I was here
319,3:50 ,Hello from Phoenix Az
320,3:50 ,why does she talk sound like a robot
321,3:50 ,we are witnessing history we are witnessing history we are witnessing history we are witnessing history we are witnessing history we are witnessing history we are witnessing history we are witnessing
322,3:50 ,CAMERON
323,3:50 ,Spanish
324,3:50 ,YEEHAW BROTHER WERE GOING TO THE RED PLANET YET AGAINNNNNNNNNNNNNNNNN
325,3:51 ,THE FUTURE IS HERE
326,3:51 ,houston
327,3:51 ,When is it going to land
328,3:51 ,Who here likes The Expanse
329,3:51 ,CAN WE GET A POG
330,3:51 ,from India
331,3:51 ,hello everyone hope you all have a nice day greetings from India
332,3:51 ,I was here
333,3:52 ,Hello from Star Fleet Academy
334,3:52 ,do not crash this time
335,3:52 ,They said another hour a half
336,3:52 ,youtube frogs omegalul
337,3:52 ,greetings from Germany
338,3:52 ,Greetings from the Netherlands
339,3:52 ,say apple if you see this
340,3:52 ,greetings from Mexico to Mars
341,3:52 ,yoooooooooooo we aboutta land alien on da orange circle tho
342,3:52 ,i cant hold my horsesssss
343,3:52 ,i was here
344,3:52 ,hello band de fou
345,3:53 ,Now this is epic
346,3:53 ,wtf are those pupils WHAT DID THAT WOMAN USE
347,3:53 ,LET THIS BE A GOOD LANDING
348,3:53 ,Who came from mark rober
349,3:53 ,hello from sunny Florida
350,3:53 ,goodvibes yougotthis
351,3:53 ,Who came because of Mark Rober
352,3:53 ,WHERE IS MARK ROBER
353,3:53 ,MARK ROBER SENT ME
354,3:53 ,how many time for landing
355,3:53 ,Hi from Michigan
356,3:54 ,yougotthis buffering good luck
357,3:54 ,Chat moving so fast no one will see iI m actually a Martian
358,3:54 ,I was here
359,3:54 ,Hello from Russia
360,3:54 ,covid sucks
361,3:54 ,BEST WISHES FROM INDIA thanksdoc
362,3:54 ,elbowcough DAB elbowcough ROVER elbowcough
363,3:55 ,Will it find my car keys
364,3:55 ,What channel is it on a tv
365,3:55 ,mars mission babyyy
366,3:55 ,LOVE FROM WALES
367,3:56 ,The sound are not 
368,3:56 ,buffering
369,3:56 ,مرحبا يا عرب Let s gooo I can t wait for it to Land Let s just hope it doesn t fail
370,3:56 ,THIS IS UR FLIGHT ATTENDANT
371,3:56 ,she sounds like an automated voice
372,3:56 ,from Iran
373,3:56 ,Is this a joke
374,3:56 ,she sounds like a robot
375,3:56 ,mark rober bought us here
376,3:57 ,Hey Jess
377,3:57 ,A long time ago in a galaxy far far away
378,3:57 ,I am ignoring class to watch this
379,3:57 ,Hello from France
380,3:57 ,pretty excited who else is excited for this
381,3:57 ,Are those led strips on the consoles RGB
382,3:57 ,lets go i was here ay
383,3:57 ,Good luck But I already know you guys don t need it So many smart people at nasa
384,3:57 ,finally sum aliens
385,3:57 ,So cool Thank you What a marvelous world we live in
386,3:58 ,Hi I m Lawrence
387,3:58 ,Hello everyone Greetings from Austria
388,3:58 ,when a start mission
389,3:58 ,this is sooo amazing
390,3:58 ,hey
391,3:58 ,i was herer
392,3:58 ,cool
393,3:58 ,this is epic
394,3:58 ,I W A S H E R E
395,3:58 ,Mars is easy Wanna see PERSEVERANCE in Rio de Janeiro without having your cameras stolen
396,3:58 ,that s alot of viewers
397,3:58 ,we are together Mozambique
398,3:59 ,hi from germany
399,3:59 ,great dayy
400,3:59 ,NASA can u tell me which stocks I should invest into
401,3:59 ,I m looking to Javier Santaolalla here
402,3:59 ,AHHHHH I M SO EXCITED D
403,3:59 ,YOOOO  VIEWERS THATS INSANE
404,3:59 ,troolls
405,3:59 ,hey
406,3:59 ,this is wonderful
407,3:59 ,rip chat
408,3:59 ,elbowcough
409,3:59 ,were part of history boys
410,3:59 ,I WAS HERE
411,4:00 ,yougotthis
412,4:00 ,whoop whoop
413,4:00 ,say something mark robber
414,4:00 ,east Africa kenya represented all the best
415,4:00 ,I WAS HERE THIS IS SO POG
416,4:01 ,MARK ROBER SENT ME
417,4:01 ,congrats in advance
418,4:01 ,720p am I watching the previous landing
419,4:01 ,cool
420,4:01 ,We all have butterflys in our stomac until we hear touchdown confirmed
421,4:02 ,Hi from Ohio
422,4:03 ,isn t that way too hot for a camera
423,4:03 ,when does it actually land
424,4:03 ,Mark Watney will be saved
425,4:03 ,Best birthday gift yessssss
426,4:04 ,when is the action time
427,4:06 ,did they land yet
428,4:07 ,good luck perseverance youve got this
429,4:07 ,splash
430,4:08 ,English plz
431,4:08 ,when is the landing
432,4:08 ,I was here
433,4:09 ,Hi from Moldova
434,4:09 ,hello from South Dakota
435,4:11 ,whwen is it landing
436,4:12 ,love from india
437,4:12 ,Greetings from Berlin
438,4:12 ,i was here
439,4:12 ,elbowcough elbowcough elbowcough
440,4:12 ,hey
441,4:12 ,We are all made of stardust
442,4:12 ,SOOOO COOOOl SPACE
443,4:13 ,thank you Mark Rober for bring me here
444,4:13 ,place ur bets will it fail or work
445,4:13 ,poggers iam exited
446,4:13 ,can t wait
447,4:14 ,bruh ngl I was waiting for FOREVER
448,4:16 ,I hope we are safe on mars
449,4:16 ,I WONDER IF MARK IS WATCHING THIS RIGHT NOW
450,4:17 ,Good luck NASA I was here
451,4:17 ,this is a cool vtuber d debut
452,4:17 ,I WAS HERE
453,4:17 ,whast yo
454,4:18 ,I WAS HERA OMGGGGGGG
455,4:19 ,has the rover already landed
456,4:19 ,It s so amazing
457,4:19 ,who is watching from india
458,4:19 ,Spanish class coming to use
459,4:19 ,it s  AM here
