Issue Type,Issue key,Original estimate (hours),Time Spent on Dev,Time Spent on Rework,Time Spent on Testing,Dev,Date ticket started,Deployed,Cycle Time
Bug,XY-1900,0.0,3.0,0.0,0.0,RP,"Sep 1, 2021","Sep 30, 2021",22
Bug,XY-2115,0.0,3.2,0.0,0.5,RP,"Sep 28, 2021","Sep 30, 2021",2
Bug,XY-1958,0.0,4.0,0.0,1.0,SS,"Sep 9, 2021","Sep 30, 2021",21
Task,XY-1923,4.0,8.7,0.0,1.0,AC,"Sep 23, 2021","Oct 18, 2021",18
Task,XY-1853,1.0,1.1,0.0,0.5,SS,"Aug 24, 2021","Sep 13, 2021",15
Story,XY-2351,4.0,7.3,0.0,1.5,SS,"Oct 27, 2021","Nov 1, 2021",5
Bug,XY-2366,0.0,3.3,0.0,0.5,RP,"Oct 29, 2021","Nov 1, 2021",2
Task,XY-2352,4.0,6.0,0.0,2.0,RP,"Oct 28, 2021","Nov 1, 2021",3
Bug,XY-2370,0.0,7.3,0.0,2.8,AC,"Oct 29, 2021","Nov 2, 2021",3
Story,XY-2025,12.0,10.4,0.0,6.8,AC,"Oct 6, 2021","Nov 8, 2021",33
Task,XY-2269,4.0,5.0,0.0,0.8,AC,"Oct 22, 2021","Nov 1, 2021",7
Task,XY-1871,1.0,1.1,0.0,0.5,SS,"Aug 30, 2021","Sep 24, 2021",20
Bug,XY-755,0.0,80.4,0.0,2.8,SM,"Jul 22, 2021","Aug 24, 2021",24
Task,XY-1509,2.0,1.5,0.0,1.0,SS,"Jul 22, 2021","Aug 12, 2021",16
Task,XY-1515,1.0,12.5,0.0,0.5,SS,"Jul 16, 2021","Aug 24, 2021",28
Task,XY-850,12.0,22.6,0.0,6.0,RP,"Jul 19, 2021","Aug 24, 2021",27
Task,XY-983,1.0,5.4,1.7,0.5,RP,"Jul 22, 2021","Aug 12, 2021",16
Story,XY-790,8.0,8.0,18.0,17.3,RP,"Jul 28, 2021","Aug 24, 2021",27
Task,XY-1090,1.0,3.3,14.4,2.7,RP,"Jul 19, 2021","Aug 12, 2021",19
Task,XY-841,8.0,16.0,0.0,2.0,RP,"Jul 22, 2021","Aug 24, 2021",24
Task,XY-1953,2.0,2.0,0.0,1.0,SM,"Sep 17, 2021","Sep 29, 2021",9
Bug,XY-1336,0.0,22.3,0.0,0.0,AC,"Jul 12, 2021","Aug 24, 2021",32
Bug,XY-1349,0.0,9.4,0.0,0.0,AC,"Jul 21, 2021","Aug 24, 2021",25
Bug,XY-1015,0.0,6.4,0.0,0.0,AC,"Aug 20, 2021","Sep 13, 2021",17
Task,XY-1032,2.0,14.1,0.0,0.5,RP,"Jul 21, 2021","Aug 12, 2021",17
Story,XY-1018,6.0,13.6,0.0,4.5,RP,"Jul 12, 2021","Aug 24, 2021",43
Task,XY-1025,1.0,1.5,0.0,0.5,SM,"Jul 19, 2021","Aug 24, 2021",27
Bug,XY-1058,0.0,3.0,0.0,0.2,SM,"Sep 9, 2021","Sep 13, 2021",3
Bug,XY-1097,0.0,3.9,0.0,0.0,SS,"Aug 20, 2021","Aug 24, 2021",3
Bug,XY-1809,0.0,2.6,0.0,0.0,SS,"Sep 10, 2021","Sep 13, 2021",2
Task,XY-1806,8.0,7.8,0.0,1.3,RP,"Aug 17, 2021","Sep 13, 2021",20
Bug,XY-1706,1.0,6.2,2.0,0.0,AC,"Sep 4, 2021","Sep 13, 2021",6
Task,XY-1199,1.0,3.7,0.0,0.3,RP,"Aug 17, 2021","Sep 13, 2021",20
Task,XY-1204,4.0,18.3,0.0,1.3,RP,"Jul 26, 2021","Aug 24, 2021",22
